ID,Ws,WD_cos,WD_sin,temp,SurfPressure,ln(conc)
177,5.83,-0.471011881,-0.882126866,272.9,814,-1.86E+00
178,4.65,-0.522498565,-0.852640164,274.1,813,3.97E+00
179,4.58,-0.577857624,-0.81613759,275.4,813,7.70E+00
180,4.37,-0.623879597,-0.781520472,275.9,813,4.73E+00
181,4.51,-0.553391549,-0.832921241,275.7,813,4.82E+00
182,5.01,-0.322265695,-0.94664926,276.7,812,8.38E+00
183,3.29,-0.109734311,-0.993960955,276.3,812,7.68E+00
184,2.8,-0.988756381,-0.149535343,274.3,812,2.99E+00
185,4.15,-0.255445758,-0.966823389,271.7,809,-3.45E+00
186,2.33,-0.230049737,-0.973178873,270,810,2.58E+00
187,4.16,0.106264071,-0.994337944,271.5,809,-9.81E-01
188,3.7,0.564967003,-0.825113498,271.2,810,4.28E+00
189,4.08,0.860742027,-0.509041416,271.5,810,1.02E+01
190,4.04,0.522498565,-0.852640164,271.2,811,1.41E+01
191,2.52,0.194234351,-0.980955155,272,810,1.40E+01
192,3.39,-0.443071191,-0.89648643,272.3,811,1.15E+01
193,3.92,-0.547563223,-0.836764313,273,810,6.88E+00
194,3.67,-0.359996808,-0.932953535,273,810,3.03E+00
195,3.98,-0.392337117,-0.919821497,273.4,810,2.25E+00
196,4.09,-0.480223497,-0.877146164,272.1,810,3.06E+00
197,4.62,-0.450877541,-0.892585818,272.8,809,8.36E+00
198,5.33,-0.489382452,-0.872069272,273.7,809,6.59E+00
199,6.59,-0.457097927,-0.889416373,274.8,808,6.73E+00
200,6.77,-0.397147891,-0.917754626,275.4,808,6.61E+00
201,6.93,-0.417867074,-0.908508178,275.7,807,-4.11E-01
202,8.46,-0.41310443,-0.910683661,275.9,807,-6.41E+00
203,6.57,-0.478691858,-0.877982975,276.3,806,-5.38E+00
204,7.97,-0.461748613,-0.887010833,276.3,805,-8.04E+00
205,6.41,-0.424199423,-0.905568799,276.1,804,5.47E+00
206,5.4,-0.376224263,-0.926528631,276.6,803,1.14E+01
207,10.1,-0.13225639,-0.99121554,276.4,802,1.30E+01
208,9.17,-0.236838146,-0.97154912,275.9,803,1.29E+01
209,12.94,-0.139173101,-0.990268069,276.7,799,1.09E+01
210,7,-0.13225639,-0.99121554,275.7,801,1.25E+01
211,4.96,-0.17708474,-0.984195608,275,802,9.30E+00
212,5.13,-0.318959309,-0.94776841,274.6,802,6.17E+00
213,6.16,-0.209618563,-0.977783237,274.8,801,5.79E+00
214,5.41,-0.238533458,-0.97113428,274.6,801,6.79E+00
215,5.11,-0.325568154,-0.945518576,273.8,801,1.25E+01
216,5.14,-0.376224263,-0.926528631,273.7,800,-5.29E-01
217,6.73,-0.350207381,-0.936672189,274.7,800,1.09E+00
218,8.62,-0.262189179,-0.965016494,275.4,799,-1.49E+00
219,8.81,-0.29570805,-0.955278362,275.6,798,-1.09E+01
220,11.09,-0.302369891,-0.953190668,276.2,797,-1.02E+01
221,11.17,-0.270600446,-0.962691746,276.3,797,1.38E+00
222,10.93,-0.318959309,-0.94776841,275.6,796,3.19E+00
223,5.48,-0.175366726,-0.98450318,274.9,796,-4.90E+00
224,2.97,0.617035875,0.786935022,272.9,797,-1.10E+00
225,1.83,0.888617233,0.458649554,274.5,797,3.93E+00
226,2.1,-0.594822787,0.803856861,275,797,1.08E+01
227,0.98,-0.342020143,0.939692621,275.4,797,1.44E+01
228,3.67,0.657375246,0.753563392,273.9,797,1.23E+01
229,6.47,0.865151421,-0.501510737,265.7,797,1.34E+01
230,6.49,0.825113498,-0.564967003,265,797,9.30E+00
231,7.42,0.805928282,-0.592013179,263.7,797,2.74E+00
232,6.95,0.791223533,-0.61152704,262,799,9.49E+00
233,5.7,0.780430407,-0.625242656,261.2,800,5.58E+00
234,6.17,0.739631095,-0.673012514,260.4,802,1.10E+01
235,6.95,0.661311865,-0.75011107,258.9,802,6.53E+00
236,10.85,0.724171861,-0.689619544,260.7,802,-1.07E+01
237,10.44,0.718126298,-0.695912797,260.1,803,-2.18E+01
238,10.27,0.720551112,-0.693401828,260,804,-2.24E+01
239,9.41,0.726574671,-0.687087511,260.1,804,-1.95E+01
240,8.97,0.690882411,-0.722967146,260.1,804,-2.10E+01
241,10.11,0.670426619,-0.741975841,259.6,805,-1.81E+01
242,7.9,0.69465837,-0.7193398,259.3,805,-2.18E+01
243,7.12,0.683273774,-0.730162277,259,805,-3.55E+01
244,6.92,0.62114778,-0.783693457,258.9,806,-3.05E+01
245,6.32,0.689619544,-0.724171861,259,806,-2.19E+01
246,10.07,0.74779809,-0.663926213,259.7,807,-2.15E+01
247,9.21,0.70463421,-0.709570737,258.7,808,-2.54E+01
248,7.22,0.69465837,-0.7193398,259,809,-3.03E+01
249,4.74,0.633380873,-0.77384021,259.7,810,-3.18E+01
250,5.45,0.63742399,-0.770513243,261.1,810,-2.83E+01
251,6.69,0.590605668,-0.806960312,262.6,810,-2.85E+01
252,7.13,0.528438335,-0.848971688,263.1,811,-2.63E+01
253,6.73,0.493941867,-0.86949493,263.4,812,-2.59E+01
254,5.62,0.516533329,-0.856267085,263.8,812,-2.70E+00
255,3.47,0.685818353,-0.727772758,264.1,811,-1.02E+01
256,1.52,0.027921639,0.999610115,262.7,811,-1.61E+01
257,4.87,-0.083677843,-0.996492859,262.7,811,-1.48E+01
258,4.51,-0.15126082,-0.988493887,263.1,811,-1.67E+01
259,4.41,-0.322265695,-0.94664926,263.5,811,-1.55E+01
260,4.74,-0.328866647,-0.94437637,264.2,810,-2.06E+01
261,5.03,-0.546101961,-0.837718717,263.5,810,-1.09E+01
262,4.7,-0.575005252,-0.818149717,264,809,1.00E+01
263,5.1,-0.707106781,-0.707106781,264.5,809,1.36E+01
264,4.45,-0.733729865,-0.679441304,265.6,808,9.43E+00
265,3.62,-0.515038075,-0.857167301,265.5,807,2.80E+00
266,2.92,-0.648119901,-0.761538308,266.8,806,3.56E+00
267,3.44,-0.584957675,-0.811063819,264.6,806,4.20E+00
268,4.97,-0.596224875,-0.802817475,266.4,805,1.90E+00
269,5.54,-0.566406237,-0.824126189,266.3,805,2.03E+00
270,4.41,-0.235142113,-0.971961001,268.2,805,1.10E+00
271,3.78,-0.192521967,-0.981292664,266.8,805,1.85E+00
272,0.51,0.1719291,-0.985109326,266.5,807,1.60E+00
273,1.48,0.710799474,0.703394703,266.1,809,2.17E+00
274,3.48,0.864274802,-0.503019947,267,809,1.87E+00
275,4.3,0.99853667,-0.054078813,266.5,811,2.90E+00
276,3.83,0.97957525,0.201077921,264.3,813,2.03E+00
277,3.02,0.949425478,0.313992456,263.3,814,8.96E-01
278,1.96,0.991444861,0.130526192,263,815,5.54E-01
279,0.98,0.984807753,0.173648178,263.5,815,8.42E-01
280,0.38,0.79335334,0.608761429,263.1,816,8.20E-01
281,1.58,-0.638767818,-0.769399555,259.7,815,2.97E+00
282,2.76,-0.512042865,-0.858959897,260,817,1.91E+00
283,2.93,-0.670426619,-0.741975841,261.1,817,1.60E+00
284,3.71,-0.187381315,-0.982287251,262.6,817,1.21E+00
285,3.2,-0.107999356,-0.994150964,263.1,816,1.14E+00
286,3.33,0.087155743,-0.996194698,263.4,816,1.57E+00
287,2.21,-0.384295323,-0.923210217,262.3,817,1.53E+00
288,2.78,-0.589196357,-0.807989884,261.3,818,2.17E+00
289,4.13,0.01396218,-0.999902524,263.3,816,1.44E+00
290,5.09,0.152985836,-0.988228381,264.6,816,9.32E-01
291,5.45,0.09931975,-0.99505557,264.9,817,1.45E+00
292,5.14,-0.031410759,-0.99950656,265.1,817,7.51E-01
293,4.07,-0.265556117,-0.964095404,264.9,817,2.26E+00
294,4.33,-0.170209499,-0.985407898,266.2,817,3.23E+00
295,4.52,-0.104528463,-0.994521895,267,817,3.89E+00
296,3.55,-0.346935652,-0.937888935,266.9,817,4.22E+00
297,5.4,0.0662739,-0.997801468,269.4,817,3.58E+00
298,4.88,0.055821505,-0.998440764,269.8,816,3.64E+00
299,5.38,0.121869343,-0.992546152,270.3,816,9.53E+00
300,5.97,0.154710386,-0.987959866,271,816,1.27E+01
301,6.33,0.195946144,-0.980614659,271.3,816,1.06E+01
302,6.35,0.257132793,-0.966376079,271.4,815,6.85E+00
303,5.87,0.312334919,-0.949972052,271.1,815,4.79E+00
304,4.83,0.285688367,-0.958322574,270.3,816,4.53E+00
305,3.04,0.166768747,-0.985996037,269,815,2.59E+00
306,3.79,0.076719028,-0.997052752,265.9,816,3.91E+00
307,4.29,0.250380004,-0.96814764,267.4,816,3.56E+00
308,4.64,0.192521967,-0.981292664,267.7,816,2.69E+00
309,4.5,0.33545157,-0.942057453,267.9,815,9.52E-01
310,5.2,0.41310443,-0.910683661,268.4,816,-2.72E+00
311,5.77,0.457097927,-0.889416373,268.2,816,-9.50E+00
312,6.07,0.48633538,-0.873772223,267.7,817,1.98E-02
313,6.05,0.387515586,-0.921863152,267.3,817,-4.42E+00
314,5.93,0.364876784,-0.931055816,267,817,-1.06E+01
315,4.93,0.280666709,-0.959805292,266.8,817,-1.42E+01
316,3.91,-0.328866647,-0.94437637,264.3,817,-2.06E+01
317,4.34,0.123601477,-0.992331938,267.1,816,0.00E+00
318,6.84,0.513541252,-0.858064906,269.2,815,-1.64E+01
319,8.83,0.653420604,-0.756995056,269.5,815,-1.35E+01
320,10.16,0.661311865,-0.75011107,269.4,815,-7.13E+00
321,11.07,0.612907054,-0.790155012,269.6,815,0.00E+00
322,8.93,0.509041416,-0.860742027,269,814,-1.29E+01
323,9.91,0.556295616,-0.830984469,269.2,814,-6.94E+00
324,10.32,0.6059884,-0.795473481,269.3,814,0.00E+00
325,10.56,0.625242656,-0.780430407,268.7,814,-2.54E+01
326,10.33,0.662620048,-0.748955721,268,814,-1.03E+00
327,10.29,0.776046407,-0.630675807,266.6,814,0.00E+00
328,10.48,0.81613759,-0.577857624,265,814,-1.65E+01
329,7.77,0.865151421,-0.501510737,265.9,813,0.00E+00
330,6.41,0.89648643,-0.443071191,264.5,815,0.00E+00
331,3.27,0.871213811,-0.490903754,260.9,815,-2.64E+01
332,1.51,-0.952661481,0.304033061,257.9,815,0.00E+00
333,4.54,-0.776046407,0.630675807,258.6,816,-1.00E+01
334,4.33,-0.997052752,-0.076719028,256.2,817,-1.41E+01
335,3.92,-0.917754626,-0.397147891,253.4,818,-2.19E+01
336,3.64,-0.705871571,-0.708339838,251.5,819,-2.29E+01
337,3.24,-0.206204185,-0.978508985,251.1,818,0.00E+00
338,2.79,0.094108313,-0.995561965,251,818,0.00E+00
339,2.43,-0.909961271,-0.414693243,250.5,819,0.00E+00
340,1.9,-0.282341457,-0.959313975,249.8,820,0.00E+00
341,4.5,0.784776371,-0.619779032,251.2,820,0.00E+00
342,6.23,0.820151876,-0.572145873,251.7,820,0.00E+00
343,7.48,0.850811109,-0.525471651,251.9,820,-5.42E+00
344,8.07,0.868631514,-0.495458668,252.5,820,0.00E+00
345,6.67,0.924546034,-0.381070376,253,820,-4.27E+00
346,5.47,0.962217994,-0.272280247,253.5,821,-1.01E+01
347,4.5,0.982612797,-0.185666615,254.4,821,-7.91E+00
348,4.9,0.964095404,-0.265556117,255.1,822,-5.18E+00
349,4.26,0.970295726,-0.241921896,255.6,822,-4.34E+00
350,1.76,0.778243149,0.627963058,255.6,822,-4.12E+00
351,1.61,0.987959866,-0.154710386,255.3,823,-5.98E-01
352,1.76,0.537299608,-0.843391446,253.4,823,-1.58E+01
353,4.18,-0.419452082,-0.907777479,248.2,822,0.00E+00
354,3.98,0.328866647,-0.94437637,247.9,822,-2.15E+01
355,4.43,0.577857624,-0.81613759,249.5,823,-1.69E+01
356,4.49,0.405141587,-0.914253955,250.1,823,-1.62E+01
357,4.55,0.516533329,-0.856267085,250.7,822,-1.62E+01
358,3.96,0.622514637,-0.782608157,250.4,823,-1.49E+01
359,4.45,0.444635179,-0.89571176,251.6,824,-1.40E+01
360,4.6,0.54170821,-0.840566603,252.4,823,-8.03E+00
361,4.47,0.33873792,-0.940880769,253.2,823,-3.21E+00
362,4.56,-0.06279052,-0.998026728,254.9,822,-8.04E+00
363,4.53,-0.0975829,-0.9952274,255.4,823,-1.01E+01
364,4.53,-0.127064609,-0.991894443,255.8,823,1.32E+00
365,4.54,-0.055821505,-0.998440764,257.6,822,4.32E+00
366,4.51,-0.02094242,-0.999780683,258.6,822,8.41E+00
367,4.52,-0.00698126,-0.999975631,259.2,822,1.14E+01
368,4.22,-0.022687334,-0.999742609,260.2,822,1.02E+01
369,3.57,-0.09931975,-0.99505557,263.9,822,6.94E+00
370,3.34,-0.211324796,-0.977415894,266.8,821,7.13E+00
371,3.61,-0.397147891,-0.917754626,268.2,821,6.37E+00
372,4.65,-0.405141587,-0.914253955,268.5,821,4.37E+00
373,4.86,-0.385906042,-0.922538089,269,821,3.94E+00
374,4.62,-0.384295323,-0.923210217,269.6,820,7.40E+00
375,4.81,-0.374606593,-0.927183855,268.9,819,1.37E+01
376,5.21,-0.325568154,-0.945518576,267.4,820,1.30E+01
377,5.98,-0.390731128,-0.920504853,266.9,817,1.35E+01
378,5.81,-0.323917418,-0.946085359,267.5,817,1.16E+01
379,5.39,-0.36325123,-0.931691228,267.2,817,1.06E+01
380,5.09,-0.39394191,-0.919135339,267.5,817,1.12E+01
381,5.21,-0.297374874,-0.9547608,267.9,816,1.03E+01
382,4.95,-0.238533458,-0.97113428,267.7,816,8.27E+00
383,4.85,-0.113203214,-0.993571856,267.4,817,7.35E+00
384,5.05,0.221548498,-0.975149354,268.8,818,6.91E+00
385,5.13,0.463296035,-0.886203579,269.5,817,5.24E+00
386,4.8,0.5,-0.866025404,267.3,817,6.54E+00
387,5.42,0.435231099,-0.900318771,269,818,1.32E+01
388,6.16,0.549022818,-0.835807361,270.2,818,1.17E+01
389,6.36,0.638767818,-0.769399555,270.4,818,5.06E+00
390,5.31,0.640109699,-0.768283524,270.1,818,1.50E+00
391,4.39,0.392337117,-0.919821497,267.2,818,-1.72E+00
392,5.05,0.521009632,-0.853550797,270.3,819,-2.78E+00
393,5.71,0.5,-0.866025404,271.7,819,-4.33E+00
394,6.9,0.54317445,-0.839619865,272.4,819,-6.96E+00
395,7.52,0.589196357,-0.807989884,272.4,819,-2.06E+00
396,6.59,0.569279523,-0.822144041,272.8,820,-2.01E+00
397,4.55,0.48480962,-0.874619707,273.5,820,-3.13E+00
398,4.53,0.382683432,-0.923879533,272.9,820,-1.20E+01
399,4.93,0.267238376,-0.963630453,271.9,820,-7.72E+00
400,4.85,0.036643709,-0.999328394,271,820,-1.01E+01
401,5.69,-0.06279052,-0.998026728,270.8,818,-1.01E+01
402,5.4,-0.267238376,-0.963630453,270,818,-2.16E+01
403,5.1,-0.596224875,-0.802817475,269.4,817,-2.30E+01
404,5.83,-0.382683432,-0.923879533,270.9,817,-1.79E+00
405,6.37,-0.26387305,-0.964557418,272.6,816,1.79E+00
406,6.75,-0.104528463,-0.994521895,272.7,817,-9.97E-01
407,5.93,-0.128795597,-0.991671162,273,817,4.65E+00
408,5.51,-0.057564027,-0.998341817,273,816,-3.80E+00
409,5.44,0.290702194,-0.956813584,273.1,816,-5.14E+00
410,5.25,0.359996808,-0.932953535,272.6,816,2.47E+00
411,5.02,0.449318999,-0.893371388,271.8,816,-2.48E+00
412,4.72,0.504527624,-0.863395551,273.7,816,-6.27E-01
413,4.63,0.328866647,-0.94437637,272.6,816,-1.02E+00
414,4.54,0.081938509,-0.996637387,272.8,815,-5.45E-02
415,4.6,-0.149535343,-0.988756381,272.6,815,1.23E+00
416,5.68,-0.252069358,-0.96770917,274.5,815,4.19E+00
417,6.61,-0.330514393,-0.943800952,274.6,815,5.50E+00
418,6.22,-0.529919264,-0.848048096,274.8,815,-4.63E+00
419,6.52,-0.467929814,-0.88376563,275.5,814,1.87E+00
420,6.83,-0.40833046,-0.912834177,276.4,814,4.19E+00
421,6.59,-0.422618262,-0.906307787,276.7,814,2.51E+00
422,6.48,-0.452434709,-0.89179753,276.4,813,8.84E+00
423,7.35,-0.275637356,-0.961261696,276.7,813,1.11E+01
424,6.77,-0.262189179,-0.965016494,276.1,813,8.43E+00
425,7.22,-0.202787295,-0.979222811,276.4,810,4.36E+00
426,5.47,-0.214735327,-0.976672278,275.8,810,4.51E+00
